市县名称,city name,car ownership per 100 people(unit/1000people),population（10000people）,per capita GDP(yuan),household price(yuan/O),population density(person/kO),urbanization(%),Per capita milage of roadway network,Ratio of bus passengers to population(1000 person-times/1000 person),whether downtown of a prefecture-level city(dummy variable),whether municipal?district(dummy variable)
杭州市区,Hangzhou District,28.51087515,857,148784,34647,1033.52629,90,1.15134189,9.378063011,1,0
萧山区,Xiaoshan,34.4667555,150.1,124859,26959,1058.533145,85,1.640906063,2.331778814,0,1
余杭区,Yuhang,24.99675608,160.3,150208,24258,1305.374593,80,1.475982533,1.066749844,0,1
富阳区,Fuyang,21.14056604,74.2,103256,23826,407.4684239,70,2.645552561,3.20754717,0,1
临安区,Linan,24.42866779,59.3,91154,16536,190.1250401,77.4,4.956155143,3.490725126,0,1
建德市,Jiande,19.232287,44.6,82581,15983,192.7398444,60,4.461883408,10.31390135,0,0
桐庐县,Tonglu,21.16875,43.2,91054,13655,236.0655738,56,4.400462963,8.564814815,0,0
淳安县,Chunan,16.59413408,35.8,68407,14077,81.05048676,50,7.715083799,11.22905028,0,0
宁波市区,Ningbo District,36.25005764,433.7,158558,31177,1162.734584,86,1.061793867,5.190223657,1,0
鄞州区,Yinzhou,39.29657228,134.2,135380,32009,1648.648649,82.5,0.75633383,4.903129657,1,0
奉化区,Fenhua,29.34291262,51.5,117419,14796,406.1514196,72,2.636893204,9.825242718,0,1
余姚市,Yuyao,29.68038529,114.2,98800,14738,760.8261159,74,1.741681261,2.154115587,0,0
慈溪市,Cixi,30.22770046,150.9,115379,13304,1108.743571,76.9,1.078197482,3.598409543,0,0
象山县,Xiangshan,27.26427221,52.9,100786,11297,382.7785818,60.3,2.697542533,12.55198488,0,0
宁海县,Ninghai,23.75562044,68.5,88316,15728,371.6766142,55,2.405839416,2.233576642,0,0
温州市区,Wenzhou District,25.33237023,301.11,79549,24885,2260.585586,90.9,0.414134369,7.814419979,1,0
洞头区,Dongtou,18.97294686,10.35,98685,9578,407.480315,53.82,2.115942029,52.17391304,0,1
瑞安市,Ruian,28.12534936,143.12,66295,19430,1060.148148,67.4,0.979597541,14.21883734,0,0
乐清市,Yueqing,21.92961012,142.35,76016,17722,1023.364486,57.2,0.701088865,30.12996136,0,0
永嘉县,Yongjia,26.49578008,82.94,49798,17161,309.8244303,64.4,1.668676151,35.62816494,0,0
平阳县,Pingyang,19.15385574,80.27,57611,8492,770.3454894,57.54,0.926871808,37.97184502,0,0
苍南县,Cangnan,17.81057339,125.22,44975,12757,999.3615323,63.32,0.90321035,30.9535218,0,0
文成县,Wenchen,18.67321867,24.42,40014,12845,188.4259259,47.99,3.46027846,44.02129402,0,0
泰顺县,Taishun,17.85881893,25.57,38767,12257,144.6266968,48.89,4.931560422,46.92999609,0,0
嘉兴市区,Jiaxing District,30.64219756,128.87,97720,18115,1305.673759,76.8,1.397532397,6.029331885,1,0
平湖市,Pinghu,22.53772094,69.59,100227,14785,1256.137184,63.5,1.773243282,7.788475356,0,0
海宁市,Haining,28.07315084,85.85,111478,16049,994.7856315,62.8,1.707629586,3.96039604,0,0
桐乡市,Tongxiang,31.7192548,84.81,105910,17150,1166.574966,59.5,2.313406438,5.954486499,0,0
嘉善县,Jiashan,24.57096609,58.69,100163,13377,1157.593688,63,1.315385926,10.30840007,0,0
海盐县,Haiyan,27.94329091,44.79,112639,9998,765.6410256,61.6,2.246037062,4.509935253,0,0
湖州市区,Huzhou District,22.162801,135.38,88371,12408,865.0479233,75,1.648692569,16.30964692,1,0
德清县,Deqing,25.67224601,51.38,101186,15612,547.761194,60,2.506811989,19.40443752,0,0
长兴县,ChangXing,24.22185678,66.89,91558,11673,467.4353599,58,3.380176409,10.61444162,0,0
安吉县,Anji,28.98267074,49.05,82907,12347,260.0742312,61,4.509683996,24.44444444,0,0
绍兴市区,Shaoxing District,23.42451193,276.6,116180,19167,932.8836425,77.76,1.330802603,4.360086768,1,0
柯桥区,keqiao,30.97170959,98.62,142879,20525,925.1407129,78.09,1.486513892,1.906307037,0,1
上虞区,Shangyu,23.33458788,79.71,115218,14736,566.9274538,60.14,1.979676327,3.851461548,0,1
诸暨市,Zhuji,27.86310025,118.7,103446,12620,513.630463,58.47,2.305812974,3.277169334,0,0
嵊州市,Shengzhou,21.12366676,69.38,80965,9133,387.8144215,58.02,3.35687518,3.488036898,0,0
新昌县,Xinchang,23.47049729,38.81,108704,10534,319.6869852,59.46,3.548054625,27.67328008,0,0
金华市区,Jinhua District,34.15663694,115.49,66864,19792,563.6408004,77.2,2.415793575,29.91601004,1,0
金东区,JIndong,0,36.45,55502,17303,553.9513678,63.9,3.234567901,0,0,1
兰溪市,Lanxi,19.95203668,56.71,66207,10512,432.2408537,53.9,2.565685064,25.28654558,0,0
东阳市,Dongyang,32.47055338,84.39,69527,12289,483.0566686,64.8,2.880673066,20.77260339,0,0
义乌市,Yiwu,45.06410256,131.04,95795,23085,1185.882353,77.6,1.174450549,21.89407814,0,0
永康市,Yongkang,39.64376557,76.27,73373,18768,728.4622732,65.5,1.574668939,14.65845024,0,0
武义县,Wuyi,27.52488938,36.16,68268,11253,230.6122449,67.1,3.938053097,23.11946903,0,0
浦江县,Pujiang,27.29727811,42.25,52691,12200,460.2396514,61.6,2.160946746,9.822485207,0,0
磐安县,Panan,17.55831951,18.09,53588,7868,151.3807531,49.5,6.85461581,29.51907131,0,0
衢州市区,Quzhou District,24.11861987,84.05,78851,16494,357.0518267,70,2.856632957,19.03628792,1,0
江山市,Jiangshan,23.55695679,48.37,62383,17284,239.5740466,60,3.814347736,16.53917718,0,0
常山县,Changshan,16.93448411,25.49,55523,10498,232.3609845,66.901111,4.166339741,15.9670459,0,0
开化县,Kaihua,18.15843137,25.5,52129,14936,114.2985208,50.17,6.270588235,20.90196078,0,0
龙游县,Longyou,21.95757737,37.48,64909,12511,327.9090114,48.3,4.010138741,16.7022412,0,0
舟山市区,Zhoushan District,16.61532412,89.01,111123,15412,859.1698842,75,1.523424334,22.75025278,1,0
岱山县,Daishan,8.989627534,21.21,101719,11272,650.6134969,65.4,1.890617633,13.71994342,0,0
嵊泗县,Shengsi,7.050847458,7.08,161052,8886,729.8969072,70,2.556497175,20.9039548,0,0
台州市区,Taizhou District,32.42980769,197.6,91717,16286,1176.190476,72,1.292510121,6.892712551,1,0
温岭市,Wenling,26.63323594,136.9,79698,20534,1274.674115,60.9,1.490869248,15.79985391,0,0
临海市,Linhai,22.33368121,105.4,63746,16038,468.2363394,54.7,2.269449715,2.409867173,0,0
玉环市,Yuhuan,24.01082803,62.8,92553,11539,1231.372549,67.4,1.176751592,24.93630573,0,0
三门县,Sanmen,19.21114286,35,65537,9478,316.7420814,52.1,3.828571429,18.88571429,0,0
天台县,Tiantai,21.3291358,40.5,63233,12327,282.8212291,58,4.955555556,16.98765432,0,0
仙居县,Xianju,23.55602241,35.7,64729,12153,178.5,58.6,5.43977591,20.16806723,0,0
丽水市区,Lishui District,21.88669439,48.1,74713,22274,322.1701273,76.1,2.798336798,9.189189189,1,0
龙泉市,Longquan,19.11573689,24.02,55800,15540,78.90932983,63,10.54954205,6.744379684,0,0
青田县,Qingtian,13.30526903,35.87,67064,14449,144.8122729,58.3,6.852523,13.18650683,0,0
云和县,Yunhe,17.98347826,11.5,63746,10900,116.1616162,69.6,7.756521739,10.60869565,0,0
庆元县,Qingyuan,15.05157593,13.96,51910,10496,73.58987876,55.8,11.21060172,12.75071633,0,0
缙云县,Jinyun,18.33817204,37.2,64034,18822,248.9959839,56.6,3.862903226,6.747311828,0,0
遂昌县,Suichang,15.56344648,19.15,60849,13045,75.39370079,52.6,9.321148825,12.68929504,0,0
松阳县,Songyang,17.99060543,19.16,55499,10449,136.7594575,51.1,8.079331942,6.054279749,0,0
景宁自治县,Jingning,15.9250457,10.94,54394,11713,56.42083548,53.7,17.51371115,7.952468007,0,0
